Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Patent Engineer / Scientist - Artificial Intelligence/Machine Learning,-1,Machine Learning Engineer,"Osha Bergman Watanabe & Burton LLP (OBWB) is currently seeking candidates with a physics, machine learning, or artificial intelligence background for our team responsible for preparing and prosecuting patent applications. Individuals who are hired will be placed in our unique Patent Agent Program, a forward-thinking, highly effective method for training and developing technically and legally savvy individuals. No IP experience is necessary. This is a great position to combine your technical skills with writing, client interaction, and legal concepts. A university degree in a technical field is required. Candidates with industry experience and/or advanced technical degrees are strongly preferred.
Ideal candidates should have
Degree in statistics, econometrics, mathematics, computer science, physics, or equivalent/related degree.",Osha Bergman Watanabe & Burton LLP,-1,United States,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$100K - $120K,Data Scientist,"Robert Half Technology (RHT) is working with a client in Austin, Minnesota, who is looking for a Data Scientist for their IT Analytics team. It's an incredible opportunity to join a growing team with a lot of growth and advancement potential. Below are a few more details on what could make an ideal candidate. Apply now!

Preferred:
Experience designing and developing end-to-end Ecommerce machine learning models.
Experience working with Python IDEs like PyCharm, Anaconda and Jupyter notebooks.
Experience with Google Cloud Platform (Google Big Query) or Oracle relational databases.
Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit https://roberthalf.gobenefits.net/ for more information.

© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use ( www.roberthalf.com/terms-of-use ).",Robert Half,3.8,"Austin, MN",10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Machine Learning Engineer,Employer Provided Salary:$120K - $140K,Machine Learning Engineer,"About us
Certec Consulting, inc
recruiting firm
The following is a big plus:
-- fluency in Python and Machine Languages (PyTorch, TensorFlow, JAX)
-- experience with training and deploying models in multi-GPU environments
-- recognized open-source contributions
-- participation in competitive programming events (CTFs, IOI, IMO, Topcoder, Kaggle, etc.)
Skills","Certec Consulting, inc",-1,Remote,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,-1,Machine Learning Engineer,"314 Main Street (21020), United States of America, Cambridge, Massachusetts

Machine Learning Engineer",Capital One,4.1,"Marblehead, MA",10000+ Employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"AI/ML - Embedded Data Scientist, Siri Data",-1,Data Scientist,"Summary
Posted: May 1, 2020
Role Number:200167352
Would you like to play a part in the next revolution in human-computer interaction? Contribute to a product that is redefining mobile and desktop computing, and work with the people who built the intelligent assistant that helps millions of people get things done — just by asking? The vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. As an Embedded Data Scientist on the team, you will be an ambassador of analytics to product and engineering teams with the ultimate purpose of improving the Siri experience for Apple customers.
Key Qualifications",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Machine Learning Engineer,-1,Machine Learning Engineer,"Job Description:
Department/Product Overview:
The Data & Analytics department is the centralized data team at IBD that supports all business functions including Marketing, Product, Content, and Ad Sales. It consists of data professionals with diverse skills and experiences that covers the end-to-end data life cycle that includes data collection, data engineering, business intelligence, data science, and machine learning engineering. The data team collaborate closely with all business partners across IBD to drive business transformation and business growth.
Position Title:
Machine Learning Engineer",Dow Jones,3.8,"New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD)
"AI/ML, Sr. Data Scientist - Statistician, Data",-1,Data Scientist,"Summary
Posted: Feb 2, 2021
Role Number:200220272
Want to push the envelope on human-computer interaction at Apple? Contribute to a product that is redefining mobile and desktop computing, and work with the people who are building the intelligent assistant that helps millions of people get things done — just by asking? Our vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. Part of this mission is achieved through evaluation and experimentation; as a Data Scientist, you will help to evolve our core methods and technologies.
Key Qualifications",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,Data Scientist,"WHO WE ARE
EOS IT Solutions is a Global Technology and Logistics company, providing Collaboration and Business IT Support services to some of the world's largest industry leaders, delivering forward-thinking solutions based on multi-domain architecture. Customer satisfaction and commitment to superior quality of service are our top business priorities, along with investing in and supporting our partners and employees.

We are a true International IT provider and are proud to deliver our services through global simplicity with trusted transparency.",EOS,3.4,"Fremont, CA",501 to 1000 Employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Data Scientist, Analytics - Remote",-1,Data Scientist,"DATA SCIENTIST, ANALYTICS - REMOTE
An established and growing data software company is actively seeking an experienced Data Scientist to help develop machine-learning-driven products for the e-Discovery and Financial Compliance industries in close collaboration with product leaders and engineers. As the Data Scientist, you will have an exciting opportunity to build the team and use your experience in NLP to build models and solve problems involving big data and privacy concerns. The organization is investing heavily in AI and you will have an opportunity to shape the culture, best practices, and vision of how machine learning and AI are utilized. You'll have the freedom to experiment with and participate in deciding which big data, deep learning and NLP tools are right, such as Spark, PyTorch, TensorFlow, SpaCy or AllenNLP. Excellent communication skills are required.

Responsibilities:
Develop machine-learning models and algorithms to be released as new product features.
Collaborate with engineers to develop production-level code and contribute to the entire deployment lifecycle.
Contribute to developing internal standards, processes and tooling for a new data science team.
Collaborate with Product to assemble datasets for evaluation and model-building.
Experience with privacy-preserving machine learning for NLP applications such as differential privacy or model building on encrypted data.
Experience building NLP solutions at scale, on datasets of 1 to 100 million texts.
Legal industry experience, or interest in the legal industry is ideal but not required.


5 years of data science experience in a business setting OR 3 years of data science experience in a business setting with data science education (e.g., advanced degree, certifications, coursework, bootcamp, mentored projects).
Experience solving problems in NLP, such as but not limited to: text segmentation, text classification, conceptual similarity metrics, entity extraction, transfer learning, cross-lingual transfer, natural language generation.
Experience working with structure and unstructured data
Successfully implemented and deployed machine-learning models that realized material business impact and contributed to the entire lifecycle of the models from data acquisition to model monitoring and updating.
Experience building and deploying machine-learning models on a cloud platform such as AWS, GCP or Azure.
Proficient in object-oriented programming and scripting in a language such as Python.
Comfortable with command-line tools.
Intentional communicator – uses inclusive language whenever possible, communicates data science concepts to colleagues of all backgrounds, uses technical vocabulary judiciously and with intention","Infinity Consulting Solutions, Inc.",3.6,"Chicago, IL",501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Scientist 181639,Employer Provided Salary:$53 - $63 Per Hour,Data Scientist,"Position Scope:
Accelerates and supports the ongoing activities in the field of Artificial Intelligence and Computer vision for multiple use cases for quality improvement in the area of manufacturing. Deals with large volumes of data, understands, and explores data critical to business. Drives data for future processes and products. Works with different business units to understand the business demands with respect to Artificial Intelligence and Quality Assessment. Conducts advanced analytical tasks, designs deep learning models, data mining, and computer vision to enable to improve its products, services, and processes.
Responsibilities:
Analyzes business critical data and recommends improvements.",HKA Enterprises,3.6,"Greenville, SC",1001 to 5000 Employees,1977,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist / Biostatistician,-1,Biostatistician,"About us
BlinkTBI’s FDA-cleared technology, EyeStatTM, delivers objective data about the blink reflex in just minutes by stimulating and measuring the blink using light puffs of air and high-speed videography. Our foundational research and proof of concept data supports EyeStat's initial application intended to test for and identify abnormal blink patterns associated with traumatic brain injury (TBI). In addition to TBI, BlinkTBI is now exploring applications in the diagnosis, differentiation and management of neurological diseases and conditions such as Parkinson's, Alzheimer's, and Migraine.
Position Summary:
Core Responsibilities:","Blinktbi, Inc",-1,"Charleston, SC",-1,-1,-1,-1,-1,-1
Data Scientist,-1,Data Scientist,"SRP Companies is an international distribution and service organization that leverages many different consumer brands across convenience stores and other sales channels. Leveraging technology is a strength of the organization we use to maintain competitive advantage and barriers of entry into our space.

Job Description
We are looking for a highly capable machine learning engineer to optimize our machine learning systems. In this position you will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.",SRP Companies,3.2,"Castle Rock, CO",1001 to 5000 Employees,1969,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Data Scientist - AI/ML Retail Engineering,-1,Machine Learning Engineer,"Summary
Posted: Aug 17, 2021
Weekly Hours: 40
Role Number:200275611
Do you enjoy making sense of large quantities of data and unlocking answers to questions long since asked? We are looking for someone who thrives withKey qualifications Ability to develop sophisticated econometric models that help understand efficiency and returns on future investment decisions Good judgment balancing art and science when visually communicating information (e.g. jupyter, ggplot, matplotlib, plotly/bokeh) Experience engineering information from extensive, sophisticated datasets (e.g. Spark, MongoDB). Proven track record of integrating data science pipelines/models into Python APIs Experience using data science in computer vision & time series datasets/modeling Experience designing pipelines to automate hyperparameter search/model-selection routines collaboration and wants to push the boundaries of what is possible today Join our team of driven, dedicated machine learning and software engineers in the Retail Apps Engineering team in Austin. We build software and hardware solutions that power the worldwide fleet of Apple Retail locations. As a member of the group, you will craft data pipelines and platforms for exciting new technologies that drive top-level customer and employee experiences in our stores.",Apple,4.3,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Engineer,-1,Data Engineer,"Summary
Posted: Aug 13, 2021
Role Number:200277039
The Apple Cloud Platform organization is building the next generation of tools empowering Apple’s software developers to build products that surprise and delight our customers. The Software Development Platform (SDP) is responsible for the cutting edge of all aspects of the software development lifecycle that Apple’s developers utilize to build, test and deploy their code. We're a fast moving, multi-functional organization with ambitious goals, a strong user base, and a wide leash to build the future of developer tooling at Apple. Our systems have to scale globally, remain highly available, and ""just work”. We're looking for a talented individual to join us in powering a new way of developing software. Apple’s SDP Insights is looking for a passionate and highly motivated engineer to be a SDP Data Engineer. You will provide a key function in shaping the success of Apple’s current and future products and help deliver exciting new features whilst maintaining Apple’s extraordinary quality.",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Sr. SQL Data Analyst,-1,Data Analyst,"JOB DESCRIPTION
A healthcare client of Insight Global is looking for a SQL Data Analyst to work 100% remote. You will be taking in claims from the customer, passing them through products and services, and using SQL to structure the data. They are looking for someone who has very strong attention to detail since you will be working with large data. You will be breaking down patient information, organizing the data, and sub categorizing the information for it to be easier to read for the nurses to be able to identify the data.
MINIMUM REQUIREMENTS
5+ years of MSSQL experience
3+ years of experience with T-SQL basic querying or SP usage",Insight Global,4.0,"Frisco, TX",1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Junior Data Scientist,-1,Data Scientist,"Robert Half Technology's client is working on a replatforming project that they are interested in finding a Junior Data Scientist to support. They are seeking candidates who are familiar with data modeling and have experience with R and Shiny. Experience with Microservices is important, and AWS experience would be a plus. Platforming experience is very important given the nature of the project! This will be a 9+ month contract position and can be 100% remote.

Please apply today if interested!

Data Science
Data Modeling
Microservices
AWS a plus
R, Shiny

Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit https://roberthalf.gobenefits.net/ for more information.

© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use ( www.roberthalf.com/terms-of-use ).",Robert Half,3.8,"Burr Ridge, IL",10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Data Scientist,-1,Data Scientist,"Industry-leading client is seeking a Data Scientist for a contract opportunity in the DFW area!
Requirements
Advanced degree (MS or PhD) in a quantitative field including but not limited to statistics, computer science/data mining, operations research, or mathematics
Deep understanding of fraud/anomaly detection algorithms
Experience in working with web logs and clickstream data
Excellent interpersonal and communication skills to present analytics effectively to the leadership, team members and customers
Experience in computational programming such as R/Python/Scala in a cloud environment",MATRIX Resources,4.5,"Fort Worth, TX",201 to 500 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Scientist (Manager),-1,Data Scientist,"**** There is no relocation assistance offered for this role ****
As a team, we are committed to building relationships with the people who care for our patients. Our employees are our number one client and we lead as a faith-based company from the heart.
We are committed to develop teams who can truly make a difference for our patients and employees.
GENERAL PURPOSE: The Data Scientist (Manager) will support the growing needs around data-driven decision making in the organization and own process of deriving key insights from advanced analytics to achieve short- and long-term financial targets. The data scientist will involve data exchange process analysis, design, development, unit testing, and support. This role would be responsible for building out a team of analysts, engineers, and scientists to predict, develop processing and identify other reporting needs. This position requires strong technical and analytical skills to review business processes and data, recommend solutions, conduct functional and code analyses, and lead and perform database development tasks. This position will also involve production support and require experience within a DevOps environment.",Pathways,3.1,"Richardson, TX",5001 to 10000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Director, Data Scientist",Employer Provided Salary:$136K - $250K,Data Scientist,"Your Opportunity

The Deposits and Margin Strategy and Analytics team is responsible for product analytics related to deposits and margin, for Charles Schwab Bank and for the brokerage Charles Schwab and Co. Inc.

The team consists of people with data science and econometrics/statistical backgrounds as well as some with more traditional strategy or consulting/finance backgrounds.

We are seeking a Managing Director of Cash Strategy and Analytics. This role is responsible for driving strategy, analytics, forecasting, pricing and other work related primarily to Schwab’s sweep deposits (uninvested cash in brokerage accounts) which are the largest category of deposits at Schwab.",Charles Schwab,3.9,"San Francisco, CA",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Machine Learning Engineer,Employer Provided Salary:$110K - $130K,Machine Learning Engineer,"Blue Rose is currently seeking someone with the skills to help us improve the public-facing systems of a federal client. Specifically, you will implement a new chatbot product to enhance customer experience and reduce operational costs by using conversational AI technology - natural language processing (NLP) and other cognitive APIs. You will develop, train, and evaluate natural language processing (NLP) models for the deployed Conversational AI Platform.
*The successful candidate will:
use statistical analysis and programming to analyze and interpret language datasets
provide expertise in AI services, including Natural Language Processing, and ML architecture
analyze training and test data to help fine tune semantic models to improve overall accuracy and performance","Blue Rose Consulting Group, Inc.",-1,"Washington, DC",1 to 50 Employees,2017,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Scientist,-1,Data Scientist,"The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.
What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses",HPOne,3.2,"Trumbull, CT",501 to 1000 Employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD)
Data Scientist,-1,Data Scientist,"Chewy is looking for a Data Scientist or Statistician or Economist with a background in marketing measurement to join the Measurement Science team at Chewy. The team is committed to developing data-drive solutions, advancing measurement capabilities, building optimization frameworks, establishing best practices, and identifying growth opportunities across marketing channels, using methodologies such as marketing mix modeling (MMM), testing / experimentation, attribution, causal Inference, forecasting, 3rd party solutions, etc.
As we grow the Measurement Science function within the Marketing Science & Operations team and set up various capabilities from ground up, you will have the opportunity to operate or lead as a full-stack data scientist. In that capacity, you will have the opportunity to develop backend modeling frameworks, solve business problems, design experiments, build pipelines to streamline model development, partner with media partners and 3rd-party vendors to identify and implement new capabilities and best measurement practices, etc. For such efforts, you have chance to work closely with business partners, Analytics, Product and Tech teams, as well as external parties.",Chewy,3.3,"Bellevue, WA",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
Machine Learning (ML) Engineer,-1,Machine Learning Engineer,"Job Type: Full Time
Compensation is commensurate with relevant experience.
Streamlyne is a dynamic, fast-growing enterprise SaaS company that partners with university research departments and independent research institutions. Our aim is to help the research sector become more efficient with their processes so that they can focus on groundbreaking research.
Beyond our research administration software, for the research sector, we have software platforms that leverage Machine Learning (ML) and data analytics. Streamlyne is looking to augment its ML team with a dynamic individual who will help develop amazing products.
The ML Engineer at Streamlyne is a customer-facing member of Streamlyne’s ML project team, plays many important roles, and has a significant impact on the growth of the company and improvement of its ML-based product line.",Streamlyne,-1,,-1,-1,-1,-1,-1,-1
AI/ML Scientist,-1,Machine Learning Engineer,"Company Description

Money Mart Financial Services is a leading provider of financial services in North America. For 40 years, we have been committed to providing financial solutions that meet the evolving needs of consumers and business owners. Backed by a retail network of over 700 locations and robust digital and mobile platforms, we provide access to cash and related products to help our customers achieve their goals.
Our highly skilled workforce puts customers first in everything we do. We serve 2 million people annually with diverse and innovative financial products such as loans, check cashing, money transfer and prepaid cards. Through this ever-evolving suite of services, we empower customers to manage their finances and improve their lives. Wherever customers are on their financial journey, Money Mart Financial Services provides solutions.",Money Mart Financial Services,3.3,"Malvern, PA",1001 to 5000 Employees,1982,Company - Private,Lending,Finance,$1 to $2 billion (USD)
Data Scientist,-1,Data Scientist,"Virtuoso is the leading global travel agency network specializing in luxury and experiential travel. We bring together 20,000 of the world's most sought-after travel advisors and more than 2,000 elite travel companies, from five-star hotel groups and renowned cruise lines to boutique properties and high-end adventure travel outfitters around the world. Whether in the pages of Virtuoso Life magazine, on Virtuoso.com, in e-mail newsletters, or across social media, our goal is to inspire people to travel Virtuoso-style, with the help of a Virtuoso travel advisor and Virtuoso-preferred partners.
Position Summary: Position is responsible for using machine learning and statistical modeling to discover customer and advisor insights for business strategies across the organization.
Primary Duties & Responsibilities include the following. Other duties may be assigned.
Provide advanced data analysis to inform overall business strategies",Virtuoso,2.8,Texas,201 to 500 Employees,1952,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
Data Scientist IV,-1,Data Scientist,"What We're Looking For:
The Data Scientist IV will lead advanced analytical research, development, and implementation. This is a highly quantitative role that requires elite analytical aptitude, strong programming skills, and intellectual curiosity. We are looking for someone who has a history of using data science to solve business problems, has extensive experience running experiments at scale in enterprise settings, is comfortable training and evaluating machine learning models in production, and has a proven ability to be a technical leader.
Responsibilities Include, But Are Not Limited To:
Design and execute business and technical processes needed for experimentation to support an array of business problems from marketing to survey analytics, including experiment ideation, experimental design, monitoring, data analysis, code review, and communication of results",2U,3.9,"Brooklyn, NY",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Patent Engineer / Scientist - Artificial Intelligence/Machine Learning,-1,Machine Learning Engineer,"Osha Bergman Watanabe & Burton LLP (OBWB) is currently seeking candidates with a physics, machine learning, or artificial intelligence background for our team responsible for preparing and prosecuting patent applications. Individuals who are hired will be placed in our unique Patent Agent Program, a forward-thinking, highly effective method for training and developing technically and legally savvy individuals. No IP experience is necessary. This is a great position to combine your technical skills with writing, client interaction, and legal concepts. A university degree in a technical field is required. Candidates with industry experience and/or advanced technical degrees are strongly preferred.
Ideal candidates should have
Degree in statistics, econometrics, mathematics, computer science, physics, or equivalent/related degree.",Osha Bergman Watanabe & Burton LLP,-1,United States,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,Employer Provided Salary:$120K - $140K,Machine Learning Engineer,"About us
Certec Consulting, inc
recruiting firm
The following is a big plus:
-- fluency in Python and Machine Languages (PyTorch, TensorFlow, JAX)
-- experience with training and deploying models in multi-GPU environments
-- recognized open-source contributions
-- participation in competitive programming events (CTFs, IOI, IMO, Topcoder, Kaggle, etc.)
Skills","Certec Consulting, inc",-1,Remote,-1,-1,-1,-1,-1,-1
"AI/ML - Machine Learning Researcher, MLR",-1,Machine Learning Engineer,"Summary
Posted: Aug 18, 2021
Weekly Hours: 40
Role Number:200246445
Play a part in building the next revolution of machine learning technology. We're looking for passionate mid-level and senior researchers to work on ambitious curiosity driven long-term research projects that will impact the future of Apple, and our products. In this role, you'll have the opportunity to work on innovative foundational research in machine learning. As a member of the team, you will be inspired by a diversity of challenging problems, collaborate with world-class machine learning engineers and researchers to impact the future of Apple products, and publish some of your results in high-quality scientific venues.
Key Qualifications",Apple,4.3,United States,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,Data Scientist,"Job Title: Data Scientist
Location: Chicago, IL (Remote until Covid restrictions are lifted, will convert to WFH policy 2-3 days onsite)
Duration & Type: 9-Month Initial Contract with likely extensions up to 2 years and/or conversion to full-time for the right candidate
Compensation: Competitive hourly rate, Access to Healthcare, Dental, and Vision Insurance Plan of Choice, and 401K

Chamberlain Advisors is currently seeking a Data Scientist for our direct client in the healthcare and retail pharmacy industry. This is a 9-month initial contract with likely extensions up to 2 years. The ideal candidate will develop data science, machine learning, and optimization algorithms for understanding (analysis) and solving complex problems. Click apply now and join the Chamberlain experience.",Chamberlain Advisors LLC,-1,"Chicago, IL",51 to 200 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Machine Learning Engineer,-1,Machine Learning Engineer,"314 Main Street (21020), United States of America, Cambridge, Massachusetts

Machine Learning Engineer",Capital One,4.1,"Cambridge, MA",10000+ Employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"AI/ML - ML Applied Scientist, ML Platform & Technology",-1,Machine Learning Engineer,"Summary
Posted: Aug 23, 2021
Weekly Hours: 40
Role Number:200272282
We’re looking for applied machine learning scientist to help us build a next generation Deep Learning framework geared towards fueling on-device machine learning capabilities and emerging innovations. You’ll be part of a small team of developers and deep learning experts working in the area of device-aware neural network optimization and neural architecture search. We’re looking for candidates passionate about machine learning, computational science and hardware. Any background and experience level is acceptable. In exchange we offer respectful work environment, flexible set of responsibilities, access to world class experts and growth opportunities in one of the best companies in the world.",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML, Sr. Data Scientist - Statistician, Data",-1,Data Scientist,"Summary
Posted: Feb 2, 2021
Role Number:200220272
Want to push the envelope on human-computer interaction at Apple? Contribute to a product that is redefining mobile and desktop computing, and work with the people who are building the intelligent assistant that helps millions of people get things done — just by asking? Our vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. Part of this mission is achieved through evaluation and experimentation; as a Data Scientist, you will help to evolve our core methods and technologies.
Key Qualifications",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist - AI/ML Retail Engineering,-1,Machine Learning Engineer,"Summary
Posted: Aug 17, 2021
Weekly Hours: 40
Role Number:200275611
Do you enjoy making sense of large quantities of data and unlocking answers to questions long since asked? We are looking for someone who thrives withKey qualifications Ability to develop sophisticated econometric models that help understand efficiency and returns on future investment decisions Good judgment balancing art and science when visually communicating information (e.g. jupyter, ggplot, matplotlib, plotly/bokeh) Experience engineering information from extensive, sophisticated datasets (e.g. Spark, MongoDB). Proven track record of integrating data science pipelines/models into Python APIs Experience using data science in computer vision & time series datasets/modeling Experience designing pipelines to automate hyperparameter search/model-selection routines collaboration and wants to push the boundaries of what is possible today Join our team of driven, dedicated machine learning and software engineers in the Retail Apps Engineering team in Austin. We build software and hardware solutions that power the worldwide fleet of Apple Retail locations. As a member of the group, you will craft data pipelines and platforms for exciting new technologies that drive top-level customer and employee experiences in our stores.",Apple,4.3,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Staff Data Scientist (Remote, Americas)",-1,Data Scientist,"Job Description

Do you get excited about all things Data? Are you looking for a role where you can see the tangible results of your work? If you're excited by solving hard, impactful problems and you have a passion for logistics then our Staff Data Scientist may be right for you.

Qualifications

7-10 years of commercial experience in a data science role solving high impact business problems
You have well built technical experience that inspires individual contributors creativity and innovation.",Shopify,4.2,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
"AI/ML - ML Data Engineer, Machine Translation",-1,Machine Learning Engineer,"Summary
Posted: May 6, 2021
Role Number:200244448
Would you like to play a critical part in the next revolution of human-computer interaction? The Apple machine translation team is building the groundbreaking technology that enables connecting people across language barriers. We are looking for Data Engineer passionate about designing and developing solution to create scalable and high quality data asset to power Apple MT products.
Key Qualifications
Strong programming and software engineering skills (Python, Java, or equivalent)
Ability to analyze large data sets, perform data visualizations, develop hypotheses, and make insightful recommendations",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - Embedded Data Scientist, Siri Data",-1,Data Scientist,"Summary
Posted: May 1, 2020
Role Number:200167352
Would you like to play a part in the next revolution in human-computer interaction? Contribute to a product that is redefining mobile and desktop computing, and work with the people who built the intelligent assistant that helps millions of people get things done — just by asking? The vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. As an Embedded Data Scientist on the team, you will be an ambassador of analytics to product and engineering teams with the ultimate purpose of improving the Siri experience for Apple customers.
Key Qualifications",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Machine Learning Engineer,-1,Machine Learning Engineer,"Job Description:
Department/Product Overview:
The Data & Analytics department is the centralized data team at IBD that supports all business functions including Marketing, Product, Content, and Ad Sales. It consists of data professionals with diverse skills and experiences that covers the end-to-end data life cycle that includes data collection, data engineering, business intelligence, data science, and machine learning engineering. The data team collaborate closely with all business partners across IBD to drive business transformation and business growth.
Position Title:
Machine Learning Engineer",Dow Jones,3.8,"New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD)
Machine Learning Data Engineer-Photos,-1,Machine Learning Engineer,"Summary
Posted: Aug 11, 2021
Weekly Hours: 40
Role Number:200276677
Do you have a passion for building the best photo library in the world? iPhone is the most popular camera in the world. Detailed integration of software and hardware has delivered magical experiences like Photos Memories and Portrait Mode. The Camera & Photos team creates privacy-respecting machine learning technologies to ship emotional experiences to hundreds of millions of users worldwide. We are looking for an outstanding machine learning data engineer to drive data efforts, infrastructure and benchmarking for the next generation of thoughtful and personal products we deliver. If you thrive at the intersection of applied machine learning, data science and infrastructure this position will excite and inspire you.",Apple,4.3,United States,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
